"Address","S/A","Price","DOM","Tot BR","Tot Baths","TotFlArea","Yr Blt","Age","Locker","TotalPrkng","StratMtFee","SP Sqft","List Price","Sold Price","Sold Date","View","VwSpecify"
"1103 1330 HARWOOD STREET","VVWWE","$201,250","40","0","1","430","1970","45","Yes","1","$220.00","$468.02","$210,000","$201,250","11/10/2015","Yes","Fantastic city mountain view"
"1004 1250 BURNABY STREET","VVWWE","$206,000","7","0","1","430","1966","49","Yes",,"$400.65","$479.07","$215,000","$206,000","11/2/2015","Yes","MOUNTAINS & CITY"
"703 1100 HARWOOD STREET","VVWWE","$215,000","8","1","1","540","1965","50","Yes","0","$332.68","$398.15","$199,000","$215,000","9/9/2015","Yes","CITY, MOUNTAINS & WATER"
"103 1940 BARCLAY STREET","VVWWE","$221,000","58","0","1","386","1958","57","Yes",,"$205.26","$572.54","$228,000","$221,000","10/6/2015",,
"209 1940 BARCLAY STREET","VVWWE","$222,000","83","0","1","393","1958","57","Yes",,"$182.01","$564.89","$230,000","$222,000","9/9/2015",,
"303 1534 HARWOOD STREET","VVWWE","$232,500","83","1","1","550","1966","49","No",,"$541.35","$422.73","$249,888","$232,500","10/20/2015",,
"301 1251 CARDERO STREET","VVWWE","$240,000","258","1","1","641","1968","47",,"1","$397.00","$374.41","$259,000","$240,000","12/6/2015","Yes","SOME ENGLISH BAY VIEW"
"1101 1720 BARCLAY STREET","VVWWE","$240,000","2","1","1","560","1970","45","Yes","1","$385.00","$428.57","$239,000","$240,000","11/6/2015","Yes","ENGLISH BAY"
"1104 1219 HARWOOD STREET","VVWWE","$245,000","86","1","1","550","1967","48","Yes",,"$322.00","$445.45","$249,900","$245,000","10/3/2015","Yes","City & Mountain"
"310 1050 JERVIS STREET","VVWWE","$247,000","39","0","1","410","1952","63","Yes","0","$193.57","$602.44","$249,900","$247,000","9/9/2015","Yes","Tree Lined Street"
"1008 1251 CARDERO STREET","VVWWE","$247,500","43","1","1","612","1968","47","Yes","1","$335.00","$404.41","$269,900","$247,500","10/22/2015","Yes","Southern & Western Water Views"
"205 1565 BURNABY STREET","VVWWE","$255,000","16","1","1","710","1947","68","Yes",,"$269.00","$359.15","$268,000","$255,000","12/11/2015","No",
"413 950 DRAKE STREET","VVWDT","$256,000","189","0","1","407","1978","37","Yes","0","$190.00","$628.99","$269,000","$256,000","11/5/2015","Yes","COURTYARD"
"206 1975 PENDRELL STREET","VVWWE","$263,000","21","1","1","420","1957","58","Yes",,"$228.00","$626.19","$269,000","$263,000","10/1/2015","No",
"208 789 DRAKE STREET","VVWDT","$276,000","27","0","1","397","1991","25",,,"$195.29","$695.21","$282,900","$276,000","12/27/2015",,
"714 1040 PACIFIC STREET","VVWWE","$278,000","65","1","1","502","1981","34",,"0","$240.82","$553.78","$298,000","$278,000","11/5/2015",,
"303 1040 PACIFIC STREET","VVWWE","$280,000","35","1","1","508","1981","34","No","0","$243.92","$551.18","$289,900","$280,000","10/26/2015","No",
