Address,S/A,Price,DOM,Tot BR,Tot Baths,TotFlArea,Yr Blt,Age,Locker,TotalPrkng,StratMtFee,SP Sqft,List Price,Sold Price,Sold Date,View,VwSpecify
3603 193 AQUARIUS MEWS,VVWYA,"$1,730,000",37,3,3,"1,448",2000,19,Yes,2,$708.97,"$1,194.75","$2,000,000","$1,730,000",5/2/2019,Yes,CITY & WATER VIEW
301 1241 HOMER STREET,VVWYA,"$1,740,000",19,2,2,"1,480",2009,10,Yes,1,$943.49,"$1,175.68","$1,775,000","$1,740,000",7/30/2019,No,
2103 583 BEACH CRESCENT,VVWYA,"$1,750,000",144,2,2,"1,238",2005,14,,1,$592.20,"$1,413.57","$1,899,000","$1,750,000",9/14/2019,Yes,False Creek & Granville Island
3003 1500 HORNBY STREET,VVWYA,"$1,750,000",57,2,3,"1,390",1993,26,Yes,3,$817.17,"$1,258.99","$1,898,000","$1,750,000",7/3/2019,Yes,"Water, Mountains, City"
706 1383 MARINASIDE CRESCENT,VVWYA,"$1,750,000",21,2,2,"1,375",1999,20,No,1,$651.61,"$1,272.73","$1,798,800","$1,750,000",5/7/2019,Yes,FALSE CREEK
3107 198 AQUARIUS MEWS,VVWYA,"$1,755,000",4,2,2,"1,264",1999,20,No,3,$655.00,"$1,388.45","$1,749,999","$1,755,000",9/8/2019,Yes,"Water, Mountain and City Views"
1604 1205 W HASTINGS STREET,VVWCB,"$1,771,030",3,2,2,"1,250",2007,12,Yes,2,$762.94,"$1,416.82","$1,888,000","$1,771,030",3/7/2019,Yes,"Water, Mountains & City"
2504 1205 W HASTINGS STREET,VVWCB,"$1,775,000",13,2,2,"1,250",2007,12,Yes,2,$762.94,"$1,420.00","$1,799,000","$1,775,000",7/24/2019,Yes,"WATER,MOUNTAINS,MARINA & CITY"
4701 1151 W GEORGIA STREET,VVWCB,"$1,780,000",74,1,2,888,2016,3,Yes,1,$658.56,"$2,004.50","$1,938,800","$1,780,000",3/30/2019,Yes,PANORAMIC SE FACING
2303 583 BEACH CRESCENT,VVWYA,"$1,780,000",171,2,2,"1,236",2005,14,No,1,$592.20,"$1,440.13","$1,949,000","$1,780,000",8/11/2019,Yes,"False Creek, Park"
2004 1616 BAYSHORE DRIVE,VVWCB,"$1,800,000",46,2,2,"1,258",2006,13,Yes,3,$742.28,"$1,430.84","$1,830,000","$1,800,000",6/4/2019,Yes,"MOUNTAIN, OCEAN, CITY"
1203 455 BEACH CRESCENT,VVWYA,"$1,815,000",78,2,2,"1,251",2005,14,Yes,1,$667.52,"$1,450.84","$1,899,000","$1,815,000",7/12/2019,Yes,WATER
3803 1480 HOWE STREET,VVWYA,"$1,820,000",41,2,2,"1,323",2019,0,,1,$558.00,"$1,375.66","$2,088,000","$1,820,000",1/17/2019,Yes,SW FALSE CREEK ENGLISH BAY
1503 1650 BAYSHORE DRIVE,VVWCB,"$1,830,000",438,2,2,"1,305",2003,16,Yes,1,$841.56,"$1,402.30","$1,980,000","$1,830,000",10/30/2019,Yes,"WATER, MOUNTAIN & STANLEY PARK"
2706 1483 HOMER STREET,VVWYA,"$1,838,888",106,2,2,"1,075",2003,16,No,2,$613.99,"$1,710.59","$1,888,000","$1,838,888",2/8/2019,Yes,False Creek
1103 583 BEACH CRESCENT,VVWYA,"$1,850,000",13,2,2,"1,253",2005,14,Yes,1,$558.84,"$1,476.46","$1,899,000","$1,850,000",3/17/2019,Yes,"Water, Park, False Creek"
2403 1238 RICHARDS STREET,VVWYA,"$1,860,000",114,3,2,"1,525",1998,21,,2,$757.00,"$1,219.67","$1,999,000","$1,860,000",1/4/2019,Yes,"City, Park, Some water views"
1601 638 BEACH CRESCENT,VVWYA,"$1,864,000",6,2,2,"1,239",2007,12,No,1,$691.99,"$1,504.44","$1,918,000","$1,864,000",5/28/2019,Yes,"WATER, PARK, MARINA"
2702 638 BEACH CRESCENT,VVWYA,"$1,868,000",66,2,2,"1,326",2006,13,Yes,2,$746.62,"$1,408.75","$2,080,000","$1,868,000",5/9/2019,Yes,"ENGLISH BAY, CITY"
2104 667 HOWE STREET,VVWDT,"$1,875,000",207,2,2,"1,336",2013,6,No,1,$967.97,"$1,403.44","$2,188,000","$1,875,000",9/17/2019,Yes,"MOUNTAINS, WATER, CITY"
2904 1205 W HASTINGS STREET,VVWCB,"$1,880,000",38,2,2,"1,257",2007,12,Yes,,$762.94,"$1,495.62","$1,999,900","$1,880,000",4/29/2019,Yes,SOARING WATER & MOUNTAIN VIEWS
401 1066 HAMILTON STREET,VVWYA,"$1,890,000",21,2,2,"1,422",1994,25,Yes,1,$720.54,"$1,329.11","$1,950,000","$1,890,000",3/11/2019,,
501 1501 HOWE STREET,VVWYA,"$1,895,000",26,3,3,"1,622",1994,25,Yes,2,$951.78,"$1,168.31","$1,989,000","$1,895,000",5/27/2019,Yes,False Creek & Granville Island
2907 1033 MARINASIDE CRESCENT,VVWYA,"$1,900,000",19,3,2,"1,296",2002,17,Yes,2,$605.96,"$1,466.05","$2,138,000","$1,900,000",2/9/2019,Yes,False Creek Water & City Views
1101 1860 ROBSON STREET,VVWWE,"$1,930,000",7,3,2,"1,641",1986,33,Yes,2,$794.16,"$1,176.11","$1,979,000","$1,930,000",5/6/2019,Yes,EXPANSIVE MOUNTAIN & CITY VIEW
1503 323 JERVIS STREET,VVWCB,"$1,949,000",38,2,2,"1,124",2002,17,Yes,1,$668.13,"$1,733.99","$2,298,800","$1,949,000",6/13/2019,Yes,OUTSTANDING WATER & MTN. VIEWS
802 633 KINGHORNE MEWS,VVWYA,"$1,950,000",29,2,2,"1,105",2006,13,Yes,2,$589.62,"$1,764.71","$1,998,000","$1,950,000",6/20/2019,Yes,FALSE CREEK
3706 833 SEYMOUR STREET,VVWDT,"$1,950,000",15,2,2,"1,104",2011,8,No,2,$377.99,"$1,766.30","$1,998,888","$1,950,000",2/8/2019,Yes,Mountain & Water
PH7 1688 ROBSON STREET,VVWWE,"$1,950,000",16,3,3,"1,763",1999,20,Yes,2,"$1,327.89","$1,106.07","$1,999,500","$1,950,000",4/25/2019,Yes,City & North Shore Mountains
2404 667 HOWE STREET,VVWDT,"$1,950,000",2,2,2,"1,361",2013,6,No,1,$817.77,"$1,432.77","$1,998,000","$1,950,000",5/29/2019,Yes,"NS mountains, Burrard Inlet"
3302 1255 SEYMOUR STREET,VVWDT,"$1,968,888",21,3,2,"1,388",2008,11,Yes,2,$601.00,"$1,418.51","$1,998,888","$1,968,888",4/22/2019,Yes,SOUTH WEST OCEAN & CITY VIEWS
2304 738 BROUGHTON STREET,VVWWE,"$1,975,000",79,3,3,"2,541",1981,38,Yes,2,"$1,200.20",$777.25,"$1,998,000","$1,975,000",7/31/2019,Yes,PANORAMIC WATER & MOUNTAINS
1402 738 BROUGHTON STREET,VVWWE,"$2,000,000",14,3,3,"2,787",1983,36,Yes,2,"$1,256.60",$717.62,"$2,138,000","$2,000,000",7/9/2019,Yes,"Water, City, Mountains"
2201 1111 ALBERNI STREET,VVWWE,"$2,050,000",75,2,3,"1,553",2009,10,Yes,1,"$1,382.50","$1,320.03","$2,188,000","$2,050,000",7/28/2019,Yes,CORRIDOR WATER & CITY VIEWS
1503 499 PACIFIC STREET,VVWYA,"$2,050,000",8,2,2,"1,210",2018,1,Yes,2,$660.65,"$1,694.21","$2,297,000","$2,050,000",1/24/2019,Yes,"water, park, city, mountain"
3002 499 PACIFIC STREET,VVWYA,"$2,050,000",98,2,2,"1,175",2018,1,,2,$727.39,"$1,744.68","$2,099,888","$2,050,000",4/17/2019,Yes,"WATER, CITY, PARK"
1903 638 BEACH CRESCENT,VVWYA,"$2,065,000",10,3,3,"1,546",2006,13,No,2,$845.35,"$1,335.71","$2,248,000","$2,065,000",2/16/2019,Yes,"False Creek, English Bay"
303 1600 HORNBY STREET,VVWYA,"$2,070,000",64,3,3,"1,774",1995,24,Yes,2,"$1,186.84","$1,166.85","$2,288,000","$2,070,000",7/5/2019,Yes,"Waterfront, Marina & Ocean"
